Date,Software
3/24/2014,1.03
3/25/2014,1.02
3/26/2014,1.02
3/27/2014,1.02
3/28/2014,1.02
3/31/2014,1.03
4/1/2014,1.03
4/2/2014,1.03
4/3/2014,1.03
4/4/2014,1.03
4/7/2014,1.03
4/8/2014,1.03
4/9/2014,1.03
4/10/2014,1.02
4/11/2014,1.03
4/14/2014,1.03
4/15/2014,1.03
4/16/2014,1.05
4/17/2014,1.05
4/21/2014,1.05
4/22/2014,1.05
4/23/2014,1.06
4/24/2014,1.05
4/25/2014,1.04
4/28/2014,1.04
4/29/2014,1.04
4/30/2014,1.04
5/1/2014,1.05
5/2/2014,1.05
5/5/2014,1.05
5/6/2014,1.05
5/7/2014,1.05
5/8/2014,1.05
5/9/2014,1.05
5/12/2014,1.05
5/13/2014,1.05
5/14/2014,1.05
5/15/2014,1.05
5/16/2014,1.05
5/19/2014,1.05
5/20/2014,1.05
5/21/2014,1.05
5/22/2014,1.04
5/23/2014,1.04
5/27/2014,1.04
5/28/2014,1.03
5/29/2014,1.03
5/30/2014,1.04
6/2/2014,1.04
6/3/2014,1.03
6/4/2014,1.03
6/5/2014,1.04
6/6/2014,1.04
6/9/2014,1.03
6/10/2014,1.03
6/11/2014,1.03
6/12/2014,1.03
6/13/2014,1.04
6/16/2014,1.04
6/17/2014,1.04
6/18/2014,1.04
6/19/2014,1.04
6/20/2014,1.04
6/23/2014,1.03
6/24/2014,1.05
6/25/2014,1.05
6/26/2014,1.05
6/27/2014,1.05
6/30/2014,1.05
7/1/2014,1.05
7/2/2014,1.05
7/3/2014,1.05
7/7/2014,1.05
7/8/2014,1.05
7/9/2014,1.05
7/10/2014,1.05
7/11/2014,1.04
7/14/2014,1.04
7/15/2014,1.03
7/16/2014,1.04
7/17/2014,1.03
7/18/2014,1.02
7/21/2014,0.96
7/22/2014,0.96
7/23/2014,0.96
7/24/2014,0.96
7/25/2014,0.96
7/28/2014,0.96
7/29/2014,0.96
7/30/2014,0.96
7/31/2014,0.95
8/1/2014,0.96
8/4/2014,0.96
8/5/2014,0.96
8/6/2014,0.96
8/7/2014,0.96
8/8/2014,0.96
8/11/2014,0.96
8/12/2014,0.96
8/13/2014,0.96
8/14/2014,0.97
8/15/2014,0.96
8/18/2014,0.96
